sp,lat,long
"Proechimys_guyannensis",3.9,-56.18
"Proechimys_guyannensis",3.89903,-56.18092
"Proechimys_guyannensis",2.82,-59.53
"Proechimys_guyannensis",3.51,-58.23
"Proechimys_guyannensis",2.28,-59.44
"Proechimys_guyannensis",2.49,-59.48
"Proechimys_guyannensis",4.71,-57.17
"Proechimys_guyannensis",4.47,-56.91
"Proechimys_guyannensis",4.66,-57.18
"Proechimys_guyannensis",4.47,-56.89
"Proechimys_guyannensis",4.48,-57.04
"Proechimys_guyannensis",4.27,-54.738
"Proechimys_guyannensis",5.33,-60.77
"Proechimys_guyannensis",4.95,-55.18333
"Proechimys_guyannensis",4.95,-55.18
"Proechimys_guyannensis",4.93333,-55.2
"Proechimys_guyannensis",4.95,-55.183
"Proechimys_guyannensis",3.18,-58.82
"Proechimys_guyannensis",3.192,-58.812
"Proechimys_guyannensis",6.5,-58.22
"Proechimys_guyannensis",4.90833,-52.30835
"Proechimys_guyannensis",6.05,-67.41667
"Proechimys_guyannensis",6.05,-67.42
"Proechimys_guyannensis",7.16667,-64.98333
"Proechimys_guyannensis",7.17,-64.98
"Proechimys_guyannensis",4.33,-58.8
"Proechimys_guyannensis",4.33,-58.82
"Proechimys_guyannensis",4.1,-59.05
"Proechimys_guyannensis",5.15034,-58.69966
"Proechimys_guyannensis",5.15,-58.7
"Proechimys_guyannensis",5.38,-57.37
"Proechimys_guyannensis",5.36667,-57.31667
"Proechimys_guyannensis",3.75,-59.3
"Proechimys_guyannensis",3.26667,-59.71667
"Proechimys_guyannensis",3.27,-59.72
"Proechimys_guyannensis",6.23,-58.25
"Proechimys_guyannensis",6.23333,-58.25
"Proechimys_guyannensis",4.01387,-73.72659
"Proechimys_guyannensis",4.06035,-73.46202
"Proechimys_guyannensis",0.83,-66.17
"Proechimys_guyannensis",4,-52.67
"Proechimys_guyannensis",4.71377,-71.30702
"Proechimys_guyannensis",-2.3,-60.08
"Proechimys_guyannensis",-2.42,-59.83
"Proechimys_guyannensis",1,-64
"Proechimys_guyannensis",4.46667,-61.66667
"Proechimys_hoplomyoides",5.07,-59.87
"Proechimys_hoplomyoides",5.1,-59.85
"Proechimys_hoplomyoides",5.33,-60.77
"Proechimys_hoplomyoides",5.333,-60.767
"Proechimys_hoplomyoides",5.28,-60.75
"Proechimys_hoplomyoides",5.27,-60.73
"Proechimys_hoplomyoides",5.38,-59.98
"Proechimys_hoplomyoides",3.17,-65.82
"Proechimys_hoplomyoides",5.98,-61.43
"Proechimys_longicaudatus",-14.7664,-61.0347
"Proechimys_longicaudatus",-15.6337703342946,-52.356298907708
"Proechimys_longicaudatus",-15.5810000357385,-52.3751889239897
"Proechimys_longicaudatus",-14.7431,-61.0222
"Proechimys_longicaudatus",-14.7672,-61.0347
"Proechimys_longicaudatus",-14.7669,-61.0339
"Proechimys_longicaudatus",-13.5517,-61.0083
"Proechimys_longicaudatus",-18.0583,-59.0267
"Proechimys_longicaudatus",-17.88333,-63.11667
"Proechimys_longicaudatus",-17.53333,-63.06667
"Proechimys_longicaudatus",-14.33333,-60.53333
"Proechimys_longicaudatus",-14.56,-60.86
"Proechimys_longicaudatus",-17.96667,-63.05
"Proechimys_longicaudatus",-16.46667,-63.13333
"Proechimys_longicaudatus",-17.23333,-63.31667
"Proechimys_longicaudatus",-17.51667,-60.31667
"Proechimys_longicaudatus",-17.38333,-62.45
"Proechimys_longicaudatus",-17.65,-62.75
"Proechimys_longicaudatus",-18.18333,-59.36667
"Proechimys_longicaudatus",-18.28333,-62.06667
"Proechimys_longicaudatus",-15.46667,-67.55
"Proechimys_longicaudatus",-15.81667,-67.55
"Proechimys_longicaudatus",-12.945,-69.954
"Proechimys_longicaudatus",-10.133,-71.217
"Proechimys_longicaudatus",-13.06667,-64.81667
"Proechimys_longicaudatus",-13.95,-63.7
"Proechimys_longicaudatus",-15.7,-63.08333
"Proechimys_longicaudatus",-14.16667,-66.88333
"Proechimys_longicaudatus",-14.06667,-63.66667
"Proechimys_longicaudatus",-10.36972,-74.84972
"Proechimys_longicaudatus",-13.11667,-64.85
"Proechimys_longicaudatus",-10.98333,-66.1
"Proechimys_longicaudatus",-13.1,-64.81667
"Proechimys_longicaudatus",-13.01667,-64.81667
"Proechimys_longicaudatus",-13.01667,-64.85
"Proechimys_longicaudatus",-8.75000000,-63.43333333
"Proechimys_longicaudatus",-10.16666667,-59.45000000
"Proechimys_longicaudatus",-10.31666667,-58.48333333
"Proechimys_longicaudatus",-9.56666667,-57.38333333
"Proechimys_longicaudatus",-18.25000000,-52.88333333
"Proechimys_longicaudatus",-8.75000000,-63.43333333
"Proechimys_quadruplicatus",-0.69,-76.43
"Proechimys_quadruplicatus",-0.66,-76.45
"Proechimys_quadruplicatus",-0.84,-76.33
"Proechimys_quadruplicatus",-4.30139,-73.23111
"Proechimys_quadruplicatus",-0.68,-76.43
"Proechimys_quadruplicatus",-0.67,-76.4
"Proechimys_quadruplicatus",-0.83,-76.33
"Proechimys_quadruplicatus",-0.5,-77.2833
"Proechimys_quadruplicatus",0.83,-66.17
"Proechimys_quadruplicatus",-5.15668,-74.52865
"Proechimys_quadruplicatus",-3.82,-73.31
"Proechimys_quadruplicatus",-4.53,-73.55
"Proechimys_quadruplicatus",-4.022,-77.751
"Proechimys_quadruplicatus",2.5,-65.22
"Proechimys_quadruplicatus",2.25,-65.28
"Proechimys_quadruplicatus",2.62,-66.32
"Proechimys_quadruplicatus",3.17,-65.82
"Proechimys_quadruplicatus",-3.75,-73.2
"Proechimys_quadruplicatus",-3.76667,-73.51667
"Proechimys_quadruplicatus",-3.33333,-74.58333
"Proechimys_quadruplicatus",0.13333,-74.68333
"Proechimys_quadruplicatus",1.4,-75.55
"Proechimys_quadruplicatus",0.46667,-75.33333
"Proechimys_quadruplicatus",-9.85,-74.01
"Proechimys_roberti",-3.23598,-44.56503
"Proechimys_roberti",-9.5973435481078,-55.9307623091014
"Proechimys_roberti",-9.59734355082377,-55.9288122963645
"Proechimys_roberti",-12.6418158349156,-51.932679789955
"Proechimys_roberti",-11.8432067161882,-48.6359940764553
"Proechimys_roberti",-3.65,-52.37
"Proechimys_roberti",-3.67,-52.37
"Proechimys_roberti",-2.83,-54.37
"Proechimys_roberti",-4.68,-49.53
"Proechimys_roberti",-5.1,-49.4
"Proechimys_roberti",-3.68,-53.75
"Proechimys_roberti",-3.33,-53.67
"Proechimys_roberti",-4.5,-55.5
"Proechimys_roberti",-9.1,-45.78333
"Proechimys_roberti",-1.45,-48.48333
"Proechimys_roberti",-18.63333,-48.18333
"Proechimys_roberti",-8.86666667,-44.96666667
"Proechimys_roberti",-12.60000000,-47.90000000
"Proechimys_roberti",-12.25000000,-48.4000000
"Proechimys_roberti",-11.58333333,-55.13333333
"Proechimys_roberti",-13.03333333,-53.20000000
"Proechimys_roberti",-9.90000000,-51.20000000
"Proechimys_simonsi",-0.66,-76.45
"Proechimys_simonsi",-12.77165,-71.38542
"Proechimys_simonsi",-12.77172,-71.38547
"Proechimys_simonsi",-13.02362,-71.49185
"Proechimys_simonsi",-14.89556,-64.43306
"Proechimys_simonsi",-14.85806,-64.49139
"Proechimys_simonsi",-12.66833,-71.269
"Proechimys_simonsi",-11.78,-73.341
"Proechimys_simonsi",-11.7794,-73.3406
"Proechimys_simonsi",-11.7797,-73.3408
"Proechimys_simonsi",-11.7667,-73.3258
"Proechimys_simonsi",-4.33694,-73.19778
"Proechimys_simonsi",-0.75,-76.77
"Proechimys_simonsi",-0.63,-76.47
"Proechimys_simonsi",-0.65,-76.45
"Proechimys_simonsi",-0.83,-76.33
"Proechimys_simonsi",-12.517,-68.7
"Proechimys_simonsi",-0.68,-76.4
"Proechimys_simonsi",-0.8,-76.4
"Proechimys_simonsi",-0.68333,-76.43333
"Proechimys_simonsi",-0.68,-76.43
"Proechimys_simonsi",-0.78,-76.43
"Proechimys_simonsi",-2.57818908064777,-76.1095083520064
"Proechimys_simonsi",-2.54819058987473,-76.1095084482994
"Proechimys_simonsi",-4.66807812947504,-73.9494521397933
"Proechimys_simonsi",-8.66667,-72.78333
"Proechimys_simonsi",-8.56667,-72.8
"Proechimys_simonsi",-8.36667,-72.81667
"Proechimys_simonsi",-3.28333,-66.23333
